"transaction_id";"order_ref";"product_code";"product_name";"supplier_code";"supplier_name";"distributor_code";"distributor_name";"pharmacy_code";"pharmacy_name";"order_date";"lead_time";"delivery_date";"quantity_ordered";"quantity_delivered";"unit_cost";"transport_cost";"total_cost";"status";"batch_no";"expiry_date";"storage_temp";"postcode";"notes"
"T100000";"OR-57400";"PN002";"Paracetamol 500mg Tablet";"S001";"NHS Supply Chain";"D001";"Central Hub London";"PH010";"University Hospital Pharmacy";"2024-03-08";3;"2024-11-03";50;50;12.39;64.59;684.09;"Partial";"Unknown_batch";"2025-08-22";"ambient";"SE1 9RT";"Short Shipment"
"T100001";"OR-83579";"PN002";"Paracetamol 500mg Tablet";"S001";"NHS Supply Chain";"D004";"Wales Depot";"PH005";"County General Pharmacy";"2024-04-09";4;"2024-04-13";50;50;41.99;232.8;2342.3;"Partial";"B4456";"2026-05-09";"Room Temp";"LS1 1UR";"Please confirm"
"T100005";"OR-94607";"PN007";"Omeprazole 20mg Capsule";"S004";"HealQuick";"D005";"East England Depot";"PH008";"Lakeside Pharmacy";"2023-06-08";2;"2023-06-11";300;300;63.93;20.39;19199.39;"Returned";"B1651";"2025-02-06";"Refrigerated";"M1 2AB";"Please confirm"
"T100006";"OR-46265";"PN006";"Warfarin 2mg Tablet";"S005";"GlobalMeds";"D001";"Central Hub London";"PH009";"Midtown Pharmacy";"2023-08-07";4;"2023-08-12";100;79;22.8;40.29;2320.29;"Returned";"B5616";"2025-01-19";"Refrigerated";"LS1 1UR";"Unknown_notes"
"T100007";"OR-60140";"PN006";"Warfarin 2mg Tablet";"S004";"HealQuick";"D001";"Central Hub London";"PH002";"Royal Infirmary Pharmacy";"2023-03-19";14;"2023-04-04";0;0;58.62;186.2;186.2;"In Transit";"B3900";"2023-10-10";"Refrigerated";"Unknown_post";"Handle with care"
"T100008";"OR-35825";"PN008";"Flu Vaccine";"S003";"UKPharma Dist";"D002";"North West Depot";"PH001";"St Thomas Hospital Pharmacy";"2024-11-06";4;"2024-11-11";300;300;43.75;178.97;13303.97;"Partial";"B9379";"2026-12-16";"ambient";"Unknown_post";"Call before delivery"
"T100009";"OR-72277";"PN002";"Paracetamol 500mg Tablet";"S001";"NHS Supply Chain";"D003";"Scotland Regional Hub";"PH007";"Southcare Pharmacy";"2023-01-12";7;"2023-12-10";100;100;59.04;132.54;6036.54;"In Transit";"B5649";"2026-03-08";"Refrigerated";"B1 1AA";"Please confirm"
"T100010";"OR-54020";"PN002";"Paracetamol 500mg Tablet";"S004";"HealQuick";"D001";"Central Hub London";"PH002";"Royal Infirmary Pharmacy";"2025-08-03";14;"2025-03-22";250;250;66.91;151.43;16878.93;"In Transit";"B8777";"2026-05-15";"Refrigerated";"LS1 1UR";"Unknown_notes"
"T100011";"OR-83975";"PN009";"Metformin 500mg Tablet";"S002";"MediSupply Ltd";"D004";"Wales Depot";"PH006";"Northside Pharmacy";"2024-09-07";3;"2024-12-07";0;0;62.76;239.96;239.96;"Cancelled";"B1475";"2026-11-20";"ambient";"LS1 1UR";"Short Shipment"
"T100012";"OR-59192";"PN002";"Paracetamol 500mg Tablet";"S001";"NHS Supply Chain";"D004";"Wales Depot";"PH006";"Northside Pharmacy";"2023-12-12";14;"2023-12-28";150;47;18.92;71.56;2909.56;"In Transit";"B5198";"2024-11-27";"ambient";"B1 1AA";"Unknown_notes"
"T100015";"OR-87139";"PN009";"Metformin 500mg Tablet";"S003";"UKPharma Dist";"D001";"Central Hub London";"PH009";"Midtown Pharmacy";"2023-05-10";2;"2023-05-12";0;0;4.33;246.63;246.63;"Delivered";"B5978";"2024-07-17";"Refrigerated";"Unknown_post";"Temperature Sensitive"
"T100016";"OR-49857";"PN005";"Salbutamol Inhaler";"S001";"NHS Supply Chain";"D002";"North West Depot";"PH005";"County General Pharmacy";"2024-11-07";3;"2024-12-11";0;0;51.71;187.52;187.52;"Partial";"B4683";"2026-02-02";"Refrigerated";"M1 2AB";"Handle with care"
