transaction_id,order_ref,product_code,product_name,supplier_code,supplier_name,distributor_code,distributor_name,pharmacy_code,pharmacy_name,order_date,lead_time,delivery_date,quantity_ordered,quantity_delivered,unit_cost,transport_cost,total_cost,status,batch_no,expiry_date,storage_temp,postcode,notes
T100130,OR-61292,PN002,Paracetamol 500mg Tablet,S004,HealQuick,D003,Scotland Regional Hub,PH005,County General Pharmacy,2023-06-15,2,17/06/2023,10,10.0,37.16,65.52,437.12,Cancelled,B2194,2024-08-24,Cold Chain,,temperature sensitive
T100473,OR-41619,PN001,Amoxicillin 500mg Capsule,S004,HealQuick,D001,Central Hub London,PH006,Northside Pharmacy,09-Mar-2025,-1,03/08/2025,10,10.0,£19.67,57.56,TBD,Partial,,03/01/2027,Cold Chain,M1 2AB,
T100821,OR-41324,PN003,Insulin Glargine 100IU/ml,S003,UKPharma Dist,D002,North West Depot,PH008,Lakeside Pharmacy,20-Dec-2023,10,12/30/2023,250,250.0,51.16,156.32,12946.32,Partial,B6326,2025-08-16,2 to 8°C,Unknown,
T101205,OR-42192,PN004,Atorvastatin 20mg Tablet,S002,MediSupply Ltd,D005,East England Depot,PH002,Royal Infirmary Pharmacy,06/12/2024,5,19/06/2024,500,500.0,2.63,267.26,1582.26,Cancelled,B4942,29/06/2025,Refrigerated,,handle with care
T100617,OR-55240,PN007,Omeprazole 20mg Capsule,S002,MEDISUPPLY LTD,D002,North West Depot,PH002,Royal Infirmary Pharmacy,2024/03/09,14,25/03/2024,20,20.0,27.92,89.41,647.81,Delivered,,10/09/2025,2 to 8°C,M1 2AB,short shipment
T101149,OR-24295,PN005,Salbutamol Inhaler,S005,GlobalMeds,D002,North West Depot,PH006,Northside Pharmacy,09/06/2025,14,2025-06-25,0,0.0,68.24,75.35,75.35,Delivered,,2027-09-14,Cold Chain,,urgent
T101570,OR-98257,PN009,Metformin  500mg  Tablet,S002,MediSupply Ltd,D001,Central Hub London,PH003,City Clinic Pharmacy,2023.12.24,10,01/03/2024,300,300.0,19.98,175.71,6169.71,Cancelled,B8134,Aug 28 2024,Room Temp,LS1 1UR,call before delivery
T100801,OR-99080,PN005,Salbutamol Inhaler,S005,GlobalMeds ,D002,North West Depot,PH005,County General Pharmacy,2024/10/04,3,,500,220.0,51.4,135.26,25835.26,Delivered,B2446,Jul 12 2025,ambient,B1 1AA,urgent
T100909,OR-12822,PN007,Omeprazole 20mg Capsule,S004,HealQuick,D005,East England Depot,PH008,Lakeside Pharmacy,26/12/2023,2,28/12/2023,150,150.0,52.4,26.75,7886.75,Delivered,B7292,2026-05-21,Refrigerated,M1 2AB,handle with care
T100266,OR-68911,PN008,Flu  Vaccine,S003,UKPharma Dist,D001,Central Hub London,PH005,County General Pharmacy,07/23/2024,5,2024-07-28,10,10.0,55.22,225.38,777.58,Cancelled,B2730,Dec 23 2026,ambient,Unknown,temperature sensitive
T100701,OR-90620,PN001,amoxicillin 500mg capsule,S005,GlobalMeds,D001,Central Hub London,PH007,Southcare Pharmacy,10/23/2024,4,10/28/2024,200,200.0,£66.85,158.32,TBD,Partial,B3501,16/04/2026,Room Temp,LS1 1UR,temperature sensitive
T101396,OR-67408,PN010,Co-codamol 30/500 Tablet,S001,NHS Supply Chain,D001,Central Hub London,PH005,County General Pharmacy,2024.08.11,2,15/08/2024,500,500.0,40.46,151.46,20381.46,Delivered,B1526,21/09/2026,Refrigerated,,
T100783,OR-89214,PN010,Co-codamol 30/500 Tablet,S003,UKPharma Dist,D004,Wales Depot,PH009,Midtown Pharmacy,2024-03-24,10,04/03/2024,20,20.0,60.1,76.49,1278.49,Partial,B3445,26/03/2026,2-8C,LS1 1UR,call before delivery
T100029,OR-72341,PN003,Insulin Glargine 100IU/ml,S005,GlobalMeds,D001,Central Hub London,PH003,City Clinic Pharmacy,03/02/2025,7,03/10/2025,250,250.0,4.68,135.57,1305.57,Delivered,B2479,Jan 30 2027,Refrigerated,,short shipment
T100544,OR-30700,PN003,Insulin Glargine 100IU/ml,S004,HealQuick,D003,Scotland Regional Hub,PH006,Northside Pharmacy,14-Apr-2024,7,,100,100.0,17.01,202.7,1903.7,In Transit,B6278,2025-03-02,2-8C,B1 1AA,call before delivery
T100517,OR-22931,PN008,Flu Vaccine,S003,UKPharma Dist,D003,Scotland Regional Hub,PH002,Royal Infirmary Pharmacy,06/09/2024,10,06/19/2024,500,500.0,60.55,47.75,30322.75,Partial,,Sep 25 2026,Cold Chain,M1 2AB,temperature sensitive
T100624,OR-29285,PN007,Omeprazole 20mg Capsule,S002,MediSupply Ltd,D005,East England Depot,PH008,Lakeside Pharmacy,2023/06/13,14,06/27/2023,200,200.0,29.73,70.34,6016.34,Returned,,N/A,2-8C,B1 1AA,call before delivery
T100256,OR-20855,PN003,Insulin Glargine 100IU/ml,S003,UKPHARMA DIST,D003,Scotland Regional Hub,PH006,Northside Pharmacy,07-Apr-2023,7,04/14/2023,0,0.0,£43.13,215.41,215.41,Partial,B8756,2025-07-28,2-8C,Unknown,call before delivery
T101194,OR-20258,PN008,Flu Vaccine,S002,MediSupply Ltd,D004,Wales Depot,PH006,Northside Pharmacy,2024/05/29,7,06/06/2024,50,50.0,£51.71,284.05,2869.55,Returned,B9448,2025-02-14,Room Temp,SE1 9RT,urgent
T100284,OR-87474,PN002,Paracetamol 500mg Tablet,S003,UKPharma Dist,D003,Scotland Regional Hub,PH002,Royal Infirmary Pharmacy,10/03/2024,3,2024-10-08,10,10.0,65.27,288.97,941.67,Cancelled,B5519,16/01/2027,18C,M1 2AB,temperature sensitive
T100298,OR-54383,PN007,Omeprazole 20mg Capsule,S004,HealQuick,D005,East England Depot,PH003,City Clinic Pharmacy,10/18/2024,14,11/03/2024,250,250.0,65.76,,16440.0,Delivered,B2473,2026-04-16,Room Temp,SE1 9RT,short shipment
T100239,OR-46671,PN009,M3tformin 500mg Tablet,S002,MediSupply Ltd,D002,North West Depot,PH008,Lakeside Pharmacy,04-Jul-2023,4,09/07/2023,10,10.0,53.04,257.63,788.03,Cancelled,B5795,06/09/2024,ambient,Unknown,temperature sensitive
T100235,OR-32815,PN002,Paracetamol 500mg Tablet,S004,HealQuick,D005,East England Depot,PH009,Midtown Pharmacy,23/09/2023,7,2023-10-02,20,20.0,24.61,275.18,767.38,In Transit,B7292,2025-05-25,Refrigerated,SE1 9RT,handle with care
T101484,OR-36888,PN006,Warfarin 2mg Tablet,S004,HealQuick,D003,Scotland Regional Hub,PH007,Southcare Pharmacy,2023/05/24,2,28/05/2023,20,20.0,63.17,235.45,1498.85,Cancelled,B8370,2025-05-14,2 to 8°C,Unknown,handle with care
T101384,OR-62332,PN010,Co-codamol 30/500 Tablet,S004,HealQuick,D003,Scotland Regional Hub,PH007,Southcare Pharmacy,2025-01-03,10,15/01/2025,20,20.0,8.99,123.67,303.47,Returned,B3129,Nov 06 2025,ambient,,handle with care
T100376,OR-30787,PN010,co-codamol 30/500 tablet,S004,HealQuick,D004,Wales Depot,PH006,Northside Pharmacy,16-Jul-2024,5,21/07/2024,20,20.0,27.46,148.46,697.66,Delivered,B2398,N/A,Room Temp,M1 2AB,
T101139,OR-79229,PN003,Insulin Glargine 100IU/ml,S003,UKPharma Dist,D004,Wales Depot,PH005,County General Pharmacy,09/02/2025,n/a,unknown,150,150.0,21.84,127.18,3403.18,Cancelled,8020,Feb 27 2027,Refrigerated,SE1 9RT,handle with care
T101174,OR-21032,PN004,Atorvastatin 20mg Tablet,S002,MediSupply Ltd,D004,Wales Depot,PH006,Northside Pharmacy,17-Apr-2023,4,2023-04-23,20,20.0,73.03,169.81,1630.41,Partial,B3837,2025-03-23,2-8C,Unknown,urgent
T100069,OR-33260,PN008,Flu Vaccine,S002,MediSupply Ltd,D003,Scotland Regional Hub,PH009,Midtown Pharmacy,2025-04-15,3,2025-04-20,500,500.0,52.91,42.63,26497.63,Partial,B3876,Jan 12 2026,,ls1 1ur,urgent
T101548,OR-28695,PN006,Warfarin 2mg Tablet,S003,UKPharma Dist,D005,East England Depot,PH009,Midtown Pharmacy,2023-12-10,5,15 December 2023,300,300.0,£57.88,213.41,TBD,Returned,B5995,25/11/2024,Room Temp,M1 2AB,call before delivery
T100521,OR-16737,PN004,Atorvastatin 20mg Tablet,S004,HealQuick,D005,East England Depot,PH004,Community Health Pharmacy,15-Jul-2023,-2,07/13/2023,50,50.0,57.69,107.24,2991.74,Returned,B4647,23/10/2024,ambient,Unknown,handle with care
